id,name,aliases,category,updated_at
661891,127,hinatsu_sd,1,2022-06-15 23:47:56.21 UTC
2063970,3774,bokarokaku,1,2024-01-11 19:28:26.222 UTC
2106028,242520,f6f,1,2024-03-25 12:49:57.767 UTC
402062,!,exclamation_mark,0,2019-09-01 13:16:20.452 UTC
452549,!!,"!!!,!!!!",0,2019-09-01 02:54:10.685 UTC
2056780,!!_(p7kwzcwyyhxsz6u),user_wavk2442,1,2023-12-28 15:25:36.715 UTC
433182,!?,"?!,interrobang,!?!,?!!,!!?",0,2019-08-30 07:57:00.123 UTC
1848289,#unicus_(idolmaster),#lookingforaunitname_(idolmaster),0,2022-09-28 18:06:05.122 UTC
2216878,&ueen,"lueen49,rueen",1,2024-09-17 09:08:07.845 UTC
466984,...,ellipsis,0,2019-08-28 03:44:55.965 UTC
5060,.hack//,.hack,3,2019-09-01 16:01:13.854 UTC
436870,:/,:\,0,2019-09-01 00:30:37.673 UTC
411038,:>=,"blowjob_face,vacuum_fellatio",0,2019-09-02 15:24:12.111 UTC
14599,:o,:0,0,2019-08-22 19:41:49.052 UTC
15689,:p,:b,0,2019-08-29 04:04:20.241 UTC
412202,:q,:9,0,2019-08-30 00:11:43.84 UTC
82326,?,question_mark,0,2019-09-02 07:35:06.84 UTC
462978,??,???,0,2019-09-01 21:31:05.994 UTC
2221223,@@@_(eckzahn),@@@,1,2024-09-23 20:44:19.176 UTC
11285,@_@,"al_bhed_eyes,swirly_eyes,spiral_eyes",0,2019-08-30 06:28:10.53 UTC
1253523,\||/,"open_\m/,middle_and_ring_fingers_together",0,2019-09-02 05:21:12.551 UTC
534982,^^^,realization_crown,0,2019-08-31 10:44:36.781 UTC
402217,^_^,^^,0,2019-08-29 16:28:28.68 UTC
644918,^q^,^p^,0,2019-09-01 11:41:36.114 UTC
448882,|_|,||_||,0,2019-08-31 06:32:45.44 UTC
452445,+_+,"star_eyes,starry_eyes",0,2019-08-31 08:52:25.764 UTC
589458,<o>_<o>,<o><o>,0,2019-09-01 21:21:09.782 UTC
16700,>_<,><,0,2019-09-01 16:02:56.721 UTC
553947,>_o,o_<,0,2019-09-01 23:53:46.35 UTC
2195943,0_tang_hongcha,tobiichi_origami_(pixiv_31950946),1,2024-08-18 17:47:37.922 UTC
1957479,00tamakichi,0tamakichi,1,2023-06-22 05:32:12.523 UTC
1755643,01coil,maru1c0il,1,2022-02-12 17:36:49.288 UTC
1829895,0202ase,"user_epru5528,porch_02",1,2022-08-22 20:26:35.733 UTC
1955488,024_(1a41a4),1a4zrk,1,2023-06-17 21:31:25.336 UTC
1931772,052_(saniiiwan),saniiiwan,1,2023-04-28 10:32:52.757 UTC
2021747,05ghxsu,natka27,1,2023-11-08 15:51:31.256 UTC
1496527,0ida,moidamoimoi,1,2019-08-31 06:45:31.241 UTC
